home,away,home_goals,away_goals,played_on,neutral,competition_weight
Spain,Ghana,4,0,2024-06-15,0,0.8
Denmark,Japan,1,2,2024-06-15,1,1.0
Denmark,Italy,0,2,2024-06-15,1,1.0
Brazil,USA,3,1,2024-06-16,1,1.0
Switzerland,Ghana,0,1,2024-06-16,0,0.8
Canada,Poland,0,3,2024-06-16,0,0.8
Switzerland,France,0,2,2024-06-16,1,1.0
England,Italy,0,0,2024-06-16,0,0.8
Canada,USA,0,0,2024-06-16,0,0.8
Netherlands,Switzerland,3,1,2024-06-17,0,0.8
Canada,Spain,1,2,2024-06-17,0,0.8
Portugal,Brazil,2,1,2024-06-17,0,0.8
Croatia,Italy,1,1,2024-06-17,0,0.8
Morocco,Ghana,3,0,2024-06-17,1,1.0
Australia,Canada,1,1,2024-06-17,0,0.8
Poland,Canada,1,2,2024-06-17,0,0.8
Denmark,Portugal,1,1,2024-06-18,0,0.8
Brazil,Senegal,2,0,2024-06-18,1,1.0
Ghana,England,0,2,2024-06-18,1,1.0
Mexico,Netherlands,1,4,2024-06-18,0,0.8
Morocco,Poland,0,0,2024-06-18,0,0.8
Canada,Germany,1,2,2024-06-18,0,0.8
Brazil,South Korea,3,1,2024-06-18,1,1.0
Belgium,Canada,7,0,2024-06-19,0,0.8
Spain,Italy,0,1,2024-06-19,1,1.0
Poland,Germany,0,2,2024-06-19,1,1.0
USA,Morocco,0,0,2024-06-19,0,0.8
Switzerland,Canada,2,1,2024-06-19,0,0.8
Germany,Croatia,3,4,2024-06-19,0,0.8
Spain,Uruguay,4,1,2024-06-20,0,0.8
Switzerland,Uruguay,0,0,2024-06-20,0,0.8
France,Mexico,4,1,2024-06-20,0,0.8
Canada,Netherlands,0,2,2024-06-20,1,1.0
Mexico,Denmark,1,0,2024-06-20,0,0.8
Italy,USA,0,2,2024-06-20,0,0.8
Senegal,Australia,2,1,2024-06-20,0,0.8
England,Japan,2,1,2024-06-20,0,0.8
Argentina,Poland,0,0,2024-06-20,1,1.0
Senegal,Belgium,3,2,2024-06-21,0,0.8
Netherlands,Croatia,0,1,2024-06-21,1,1.0
Argentina,USA,2,1,2024-06-22,1,1.0
USA,Switzerland,0,2,2024-06-22,1,1.0
Spain,Canada,0,0,2024-06-22,0,0.8
Belgium,Australia,3,0,2024-06-22,0,0.8
Morocco,Uruguay,0,1,2024-06-22,1,1.0
Croatia,Canada,5,0,2024-06-22,0,0.8
USA,Portugal,0,1,2024-06-22,1,1.0
Germany,South Korea,0,0,2024-06-22,1,1.0
Italy,France,1,0,2024-06-23,0,0.8
Ghana,Canada,2,2,2024-06-23,0,0.8
Poland,South Korea,1,0,2024-06-23,1,1.0
Australia,Brazil,2,1,2024-06-23,0,0.8
Mexico,Netherlands,1,3,2024-06-23,1,1.0
Ghana,Netherlands,0,0,2024-06-23,0,0.8
Mexico,Australia,1,2,2024-06-23,1,1.0
England,Argentina,3,0,2024-06-24,0,0.8
Spain,France,2,3,2024-06-24,0,0.8
Canada,Netherlands,0,0,2024-06-24,0,0.8
Belgium,Senegal,2,0,2024-06-24,0,0.8
Japan,Uruguay,0,0,2024-06-24,0,0.8
Portugal,Brazil,2,3,2024-06-25,0,0.8
Spain,Morocco,1,1,2024-06-25,0,0.8
Uruguay,Japan,1,0,2024-06-25,0,0.8
Italy,Uruguay,1,0,2024-06-25,1,1.0
Brazil,Senegal,3,2,2024-06-26,0,0.8
Portugal,South Korea,1,3,2024-06-26,0,0.8
Brazil,Denmark,2,0,2024-06-26,0,0.8
Croatia,USA,7,2,2024-06-26,0,0.8
Senegal,Portugal,2,1,2024-06-26,0,0.8
Netherlands,Australia,0,2,2024-06-26,0,0.8
Ghana,Germany,0,1,2024-06-27,1,1.0
Canada,Uruguay,1,1,2024-06-27,1,1.0
Denmark,England,1,2,2024-06-27,0,0.8
Mexico,USA,2,2,2024-06-28,0,0.8
Japan,Netherlands,0,2,2024-06-28,0,0.8
Canada,South Korea,0,1,2024-06-28,0,0.8
Italy,Mexico,0,0,2024-06-28,0,0.8
Switzerland,Ghana,5,2,2024-06-28,1,1.0
USA,Argentina,0,0,2024-06-28,0,0.8
Belgium,Argentina,1,1,2024-06-28,1,1.0
Croatia,England,1,0,2024-06-29,0,0.8
Canada,Uruguay,1,2,2024-06-29,0,0.8
Poland,Uruguay,1,2,2024-06-29,0,0.8
Denmark,Portugal,1,1,2024-06-29,0,0.8
Denmark,Brazil,1,2,2024-06-29,0,0.8
Mexico,Argentina,0,0,2024-06-29,1,1.0
Japan,Belgium,1,1,2024-06-29,0,0.8
Uruguay,Japan,6,2,2024-06-29,0,0.8
Canada,Switzerland,0,1,2024-06-29,0,0.8
France,USA,1,1,2024-06-29,0,0.8
South Korea,Senegal,1,1,2024-06-29,1,1.0
Japan,Netherlands,1,4,2024-06-29,0,0.8
Spain,Poland,2,0,2024-06-29,1,1.0
Poland,South Korea,1,0,2024-06-29,0,0.8
England,Belgium,1,1,2024-06-30,0,0.8
Mexico,Morocco,0,0,2024-06-30,0,0.8
Japan,France,1,1,2024-06-30,1,1.0
Switzerland,Croatia,1,0,2024-06-30,0,0.8
Ghana,England,2,1,2024-06-30,1,1.0
Japan,Morocco,0,1,2024-06-30,1,1.0
Spain,Brazil,3,2,2024-07-01,1,1.0
Spain,Italy,3,0,2024-07-01,1,1.0
Spain,England,1,0,2024-07-01,0,0.8
Spain,Argentina,1,0,2024-07-01,1,1.0
Senegal,Argentina,0,1,2024-07-01,0,0.8
Spain,Portugal,7,1,2024-07-02,0,0.8
France,Australia,2,2,2024-07-02,0,0.8
England,Switzerland,1,0,2024-07-02,0,0.8
Japan,Mexico,1,0,2024-07-02,1,1.0
Brazil,Japan,1,1,2024-07-02,1,1.0
Uruguay,Canada,1,2,2024-07-02,1,1.0
Uruguay,Italy,1,2,2024-07-02,0,0.8
England,Spain,1,3,2024-07-03,0,0.8
Ghana,Denmark,0,1,2024-07-03,1,1.0
Italy,Brazil,1,0,2024-07-03,1,1.0
Mexico,Japan,3,3,2024-07-03,1,1.0
Italy,Canada,2,0,2024-07-03,1,1.0
Croatia,Spain,0,3,2024-07-03,1,1.0
Senegal,Italy,2,1,2024-07-03,0,0.8
Canada,Germany,0,0,2024-07-03,1,1.0
England,Argentina,1,1,2024-07-04,0,0.8
Argentina,Morocco,3,1,2024-07-04,0,0.8
South Korea,Ghana,1,2,2024-07-04,0,0.8
Italy,England,2,2,2024-07-04,1,1.0
Uruguay,Argentina,0,2,2024-07-04,1,1.0
Belgium,Netherlands,0,1,2024-07-04,1,1.0
Morocco,England,2,1,2024-07-04,0,0.8
Japan,Switzerland,0,1,2024-07-04,1,1.0
Italy,Belgium,1,1,2024-07-04,0,0.8
Netherlands,Senegal,1,2,2024-07-05,0,0.8
Argentina,Brazil,0,1,2024-07-05,0,0.8
Mexico,Italy,2,1,2024-07-05,0,0.8
Portugal,USA,1,1,2024-07-05,0,0.8
Canada,Mexico,4,3,2024-07-05,1,1.0
Morocco,South Korea,3,1,2024-07-05,0,0.8
Croatia,Poland,1,2,2024-07-05,0,0.8
Spain,Germany,2,4,2024-07-06,1,1.0
Netherlands,Portugal,0,1,2024-07-06,0,0.8
England,Australia,4,2,2024-07-06,1,1.0
Mexico,Portugal,3,3,2024-07-06,1,1.0
Portugal,Germany,2,0,2024-07-06,0,0.8
Argentina,Portugal,2,2,2024-07-06,1,1.0
Denmark,Uruguay,3,1,2024-07-06,0,0.8
Japan,USA,2,2,2024-07-06,0,0.8
Germany,England,2,2,2024-07-06,0,0.8
Croatia,France,1,3,2024-07-06,0,0.8
Spain,Italy,0,0,2024-07-06,0,0.8
Poland,Denmark,0,1,2024-07-07,1,1.0
USA,Italy,0,0,2024-07-07,1,1.0
Germany,Argentina,2,1,2024-07-07,0,0.8
Morocco,Brazil,1,2,2024-07-07,0,0.8
Netherlands,Croatia,2,1,2024-07-07,0,0.8
Poland,England,0,5,2024-07-08,1,1.0
Belgium,Senegal,4,0,2024-07-08,0,0.8
Switzerland,Morocco,0,1,2024-07-08,0,0.8
Spain,Uruguay,3,1,2024-07-08,0,0.8
Mexico,Netherlands,1,1,2024-07-08,0,0.8
England,Croatia,4,1,2024-07-09,0,0.8
England,Senegal,0,0,2024-07-10,0,0.8
Morocco,Brazil,0,3,2024-07-10,1,1.0
Australia,Spain,0,0,2024-07-10,1,1.0
Portugal,Germany,1,0,2024-07-10,0,0.8
Denmark,Spain,0,1,2024-07-10,0,0.8
Canada,Uruguay,0,1,2024-07-10,0,0.8
Poland,Mexico,1,0,2024-07-11,1,1.0
Canada,Uruguay,1,3,2024-07-11,0,0.8
Ghana,France,0,2,2024-07-11,0,0.8
England,South Korea,2,0,2024-07-11,1,1.0
Canada,Mexico,1,3,2024-07-11,0,0.8
Denmark,France,0,1,2024-07-11,0,0.8
Brazil,Australia,4,0,2024-07-11,1,1.0
Senegal,Uruguay,2,1,2024-07-11,0,0.8
USA,Denmark,4,1,2024-07-12,0,0.8
South Korea,Poland,1,0,2024-07-12,0,0.8
Denmark,Poland,1,1,2024-07-12,0,0.8
Germany,Italy,1,0,2024-07-12,1,1.0
Italy,Australia,5,0,2024-07-12,0,0.8
Brazil,France,0,3,2024-07-12,0,0.8
Germany,Morocco,0,2,2024-07-12,0,0.8
Spain,Denmark,1,0,2024-07-13,0,0.8
Canada,Denmark,1,0,2024-07-13,1,1.0
England,Netherlands,2,0,2024-07-13,0,0.8
USA,Croatia,1,1,2024-07-13,0,0.8
Poland,Spain,2,2,2024-07-13,0,0.8
Belgium,Ghana,2,0,2024-07-13,0,0.8
USA,Uruguay,3,2,2024-07-14,0,0.8
Belgium,Senegal,1,1,2024-07-14,1,1.0
Argentina,France,1,1,2024-07-14,0,0.8
Croatia,South Korea,2,0,2024-07-14,0,0.8
South Korea,Morocco,1,0,2024-07-14,0,0.8
Switzerland,Argentina,1,2,2024-07-14,0,0.8
Croatia,Poland,0,3,2024-07-15,0,0.8
Netherlands,South Korea,2,0,2024-07-15,0,0.8
Spain,Japan,1,0,2024-07-15,0,0.8
Uruguay,Netherlands,1,1,2024-07-15,0,0.8
Mexico,South Korea,3,1,2024-07-15,0,0.8
Japan,Australia,3,1,2024-07-16,0,0.8
Morocco,Denmark,1,3,2024-07-16,0,0.8
Netherlands,France,1,1,2024-07-16,0,0.8
Japan,Ghana,2,1,2024-07-16,1,1.0
Ghana,Mexico,4,1,2024-07-16,0,0.8
Mexico,USA,1,0,2024-07-16,0,0.8
Senegal,Germany,1,0,2024-07-16,0,0.8
USA,Italy,1,0,2024-07-16,1,1.0
Germany,Argentina,0,3,2024-07-17,1,1.0
Spain,Netherlands,0,2,2024-07-17,0,0.8
Canada,Uruguay,0,4,2024-07-17,0,0.8
Netherlands,Morocco,0,0,2024-07-17,0,0.8
Netherlands,Japan,2,1,2024-07-17,1,1.0
South Korea,Morocco,0,3,2024-07-18,1,1.0
Ghana,Brazil,1,4,2024-07-18,0,0.8
South Korea,France,0,2,2024-07-18,0,0.8
Canada,England,0,5,2024-07-18,1,1.0
France,Mexico,3,1,2024-07-18,0,0.8
England,Switzerland,2,3,2024-07-19,1,1.0
Ghana,Netherlands,1,3,2024-07-19,0,0.8
Japan,Portugal,0,4,2024-07-19,0,0.8
Mexico,Portugal,0,0,2024-07-20,1,1.0
Denmark,Switzerland,1,1,2024-07-20,1,1.0
England,Belgium,1,2,2024-07-20,0,0.8
South Korea,Canada,2,3,2024-07-20,0,0.8
Poland,Italy,1,0,2024-07-20,1,1.0
Morocco,USA,1,2,2024-07-21,0,0.8
Senegal,Japan,0,2,2024-07-21,0,0.8
Japan,France,0,1,2024-07-21,0,0.8
South Korea,Argentina,1,0,2024-07-22,0,0.8
Mexico,Australia,2,1,2024-07-22,0,0.8
Brazil,Ghana,7,0,2024-07-22,0,0.8
Poland,Croatia,1,1,2024-07-22,0,0.8
Mexico,Morocco,0,2,2024-07-22,1,1.0
Senegal,Canada,1,0,2024-07-22,0,0.8
Germany,France,3,2,2024-07-23,0,0.8
Germany,Italy,2,0,2024-07-23,1,1.0
Morocco,England,2,1,2024-07-23,0,0.8
Croatia,South Korea,3,0,2024-07-23,0,0.8
Belgium,Brazil,1,1,2024-07-23,0,0.8
England,Uruguay,0,0,2024-07-23,0,0.8
Canada,Argentina,2,2,2024-07-23,0,0.8
Croatia,Brazil,2,0,2024-07-23,1,1.0
Brazil,Mexico,2,1,2024-07-23,0,0.8
Denmark,Japan,1,1,2024-07-24,0,0.8
Netherlands,Mexico,1,1,2024-07-24,0,0.8
Poland,Australia,3,0,2024-07-25,1,1.0
Germany,Uruguay,2,0,2024-07-25,0,0.8
Switzerland,USA,1,0,2024-07-25,0,0.8
Poland,Mexico,1,0,2024-07-25,0,0.8
Japan,Canada,2,2,2024-07-25,0,0.8
France,Poland,4,0,2024-07-26,0,0.8
Morocco,Canada,2,0,2024-07-26,0,0.8
Canada,Poland,2,3,2024-07-26,0,0.8
Croatia,Denmark,0,0,2024-07-26,1,1.0
Australia,Morocco,1,2,2024-07-27,1,1.0
Netherlands,Japan,4,1,2024-07-27,0,0.8
Italy,USA,3,0,2024-07-27,0,0.8
England,Japan,2,2,2024-07-27,1,1.0
South Korea,Switzerland,1,0,2024-07-27,0,0.8
Germany,Brazil,1,0,2024-07-27,0,0.8
Italy,Senegal,1,0,2024-07-27,1,1.0
USA,Canada,2,3,2024-07-27,1,1.0
Italy,Germany,0,0,2024-07-28,1,1.0
South Korea,France,1,2,2024-07-28,0,0.8
Germany,Australia,4,2,2024-07-28,0,0.8
Uruguay,England,1,1,2024-07-29,0,0.8
Japan,Denmark,3,1,2024-07-29,1,1.0
Denmark,USA,2,1,2024-07-29,0,0.8
Mexico,Australia,0,1,2024-07-29,0,0.8
France,Japan,2,0,2024-07-29,0,0.8
Poland,Germany,2,2,2024-07-29,0,0.8
Morocco,Senegal,3,1,2024-07-30,0,0.8
Germany,Senegal,1,0,2024-07-30,1,1.0
England,Ghana,3,1,2024-07-30,0,0.8
France,Croatia,1,0,2024-07-31,1,1.0
Senegal,Belgium,0,0,2024-07-31,1,1.0
South Korea,Spain,0,1,2024-07-31,1,1.0
South Korea,Ghana,3,0,2024-08-01,1,1.0
Argentina,Mexico,3,1,2024-08-01,0,0.8
South Korea,Switzerland,0,0,2024-08-01,1,1.0
Switzerland,Senegal,0,1,2024-08-02,1,1.0
Japan,Argentina,3,1,2024-08-02,0,0.8
South Korea,Uruguay,2,0,2024-08-02,0,0.8
Mexico,Australia,1,1,2024-08-03,0,0.8
Uruguay,Morocco,2,0,2024-08-03,0,0.8
South Korea,Brazil,0,2,2024-08-03,1,1.0
USA,Mexico,0,0,2024-08-03,0,0.8
Ghana,Spain,0,4,2024-08-03,0,0.8
USA,Australia,2,0,2024-08-03,0,0.8
Poland,Spain,1,1,2024-08-03,0,0.8
Spain,Mexico,1,1,2024-08-03,0,0.8
Croatia,Morocco,2,3,2024-08-03,0,0.8
Poland,Denmark,2,1,2024-08-04,0,0.8
Netherlands,France,1,2,2024-08-04,1,1.0
Poland,England,4,1,2024-08-04,0,0.8
Morocco,Canada,2,0,2024-08-04,0,0.8
Mexico,Brazil,0,3,2024-08-04,0,0.8
Argentina,Netherlands,3,2,2024-08-04,0,0.8
Germany,Netherlands,2,1,2024-08-04,0,0.8
Ghana,Japan,2,0,2024-08-05,0,0.8
England,Netherlands,1,0,2024-08-05,0,0.8
Japan,Portugal,0,3,2024-08-05,0,0.8
Senegal,England,0,0,2024-08-05,0,0.8
Ghana,Brazil,0,5,2024-08-05,0,0.8
Italy,Denmark,1,1,2024-08-05,0,0.8
Argentina,Portugal,3,2,2024-08-06,0,0.8
Ghana,Netherlands,1,3,2024-08-06,0,0.8
England,Morocco,1,1,2024-08-06,1,1.0
Belgium,Netherlands,1,1,2024-08-06,1,1.0
Croatia,Japan,0,3,2024-08-06,0,0.8
Germany,Argentina,1,2,2024-08-06,0,0.8
Spain,Senegal,4,1,2024-08-06,0,0.8
Uruguay,Denmark,1,2,2024-08-06,1,1.0
Ghana,Brazil,0,3,2024-08-06,0,0.8
Denmark,Spain,0,1,2024-08-06,1,1.0
Netherlands,Brazil,0,4,2024-08-06,1,1.0
Brazil,USA,2,0,2024-08-06,0,0.8
Germany,Argentina,1,2,2024-08-07,0,0.8
USA,Argentina,0,2,2024-08-07,0,0.8
France,USA,3,0,2024-08-07,0,0.8
Spain,Japan,1,1,2024-08-07,1,1.0
Canada,Portugal,1,2,2024-08-07,1,1.0
Argentina,Canada,4,1,2024-08-08,0,0.8
Canada,France,0,6,2024-08-08,0,0.8
Brazil,Italy,2,3,2024-08-08,0,0.8
Poland,Switzerland,1,2,2024-08-08,1,1.0
Canada,Japan,1,1,2024-08-08,0,0.8
USA,Argentina,3,0,2024-08-09,0,0.8
Senegal,Spain,0,3,2024-08-10,0,0.8
Morocco,South Korea,1,1,2024-08-10,0,0.8
Poland,Australia,1,1,2024-08-10,1,1.0
Canada,Portugal,2,3,2024-08-10,0,0.8
Morocco,Ghana,0,1,2024-08-10,0,0.8
Uruguay,Canada,2,0,2024-08-10,0,0.8
Poland,Netherlands,2,5,2024-08-10,1,1.0
Spain,Ghana,2,1,2024-08-11,1,1.0
Switzerland,Japan,1,2,2024-08-11,0,0.8
England,Japan,3,0,2024-08-11,1,1.0
France,Portugal,2,0,2024-08-11,1,1.0
Italy,England,1,1,2024-08-11,0,0.8
France,USA,3,2,2024-08-11,0,0.8
Netherlands,Denmark,3,3,2024-08-12,1,1.0
Switzerland,Japan,4,0,2024-08-12,0,0.8
Japan,Denmark,4,3,2024-08-13,0,0.8
Poland,England,1,2,2024-08-13,0,0.8
Germany,Japan,3,0,2024-08-14,1,1.0
Denmark,France,1,2,2024-08-14,0,0.8
Canada,Germany,2,1,2024-08-14,0,0.8
USA,Morocco,0,1,2024-08-14,0,0.8
Italy,Denmark,2,2,2024-08-14,0,0.8
Canada,Netherlands,2,0,2024-08-14,1,1.0
South Korea,Netherlands,1,2,2024-08-15,0,0.8
Mexico,England,1,3,2024-08-15,1,1.0
Ghana,Morocco,2,0,2024-08-15,0,0.8
Brazil,Canada,5,0,2024-08-15,0,0.8
Uruguay,South Korea,0,0,2024-08-16,0,0.8
Senegal,Brazil,0,1,2024-08-16,0,0.8
Brazil,Italy,2,0,2024-08-16,0,0.8
England,Poland,2,1,2024-08-16,0,0.8
Uruguay,Ghana,1,0,2024-08-17,0,0.8
Mexico,France,4,2,2024-08-17,0,0.8
USA,Poland,3,0,2024-08-17,0,0.8
Belgium,England,1,2,2024-08-17,0,0.8
Canada,Germany,2,2,2024-08-17,1,1.0
Uruguay,Belgium,3,2,2024-08-18,0,0.8
South Korea,Japan,1,0,2024-08-18,0,0.8
Mexico,Japan,0,1,2024-08-18,0,0.8
Morocco,Netherlands,0,0,2024-08-18,1,1.0
Denmark,Poland,1,0,2024-08-18,0,0.8
Canada,England,0,2,2024-08-18,1,1.0
South Korea,Croatia,0,1,2024-08-19,1,1.0
France,USA,1,1,2024-08-19,0,0.8
Portugal,Ghana,3,1,2024-08-19,0,0.8
Germany,Switzerland,2,0,2024-08-20,1,1.0
Poland,Brazil,0,0,2024-08-20,0,0.8
Canada,Switzerland,0,2,2024-08-20,1,1.0
France,Argentina,2,3,2024-08-20,1,1.0
South Korea,Senegal,1,0,2024-08-20,0,0.8
USA,Portugal,1,2,2024-08-21,0,0.8
Morocco,Ghana,3,1,2024-08-21,0,0.8
Portugal,Spain,1,0,2024-08-21,1,1.0
France,Poland,2,1,2024-08-21,0,0.8
Uruguay,Senegal,5,1,2024-08-21,0,0.8
England,Portugal,1,2,2024-08-21,0,0.8
Uruguay,USA,1,1,2024-08-21,1,1.0
Denmark,England,1,1,2024-08-21,0,0.8
Japan,England,3,1,2024-08-21,0,0.8
Portugal,Switzerland,2,1,2024-08-21,0,0.8
Japan,Italy,1,1,2024-08-22,1,1.0
Portugal,Ghana,3,0,2024-08-22,0,0.8
Japan,Uruguay,0,3,2024-08-22,1,1.0
Australia,Mexico,0,3,2024-08-22,1,1.0
England,Switzerland,3,0,2024-08-22,1,1.0
Portugal,Belgium,3,1,2024-08-22,1,1.0
Senegal,Denmark,2,1,2024-08-22,0,0.8
Argentina,Switzerland,4,0,2024-08-22,1,1.0
Poland,Senegal,1,1,2024-08-23,1,1.0
Senegal,Brazil,6,1,2024-08-23,1,1.0
Switzerland,Brazil,0,2,2024-08-23,0,0.8
Croatia,Switzerland,2,1,2024-08-23,0,0.8
Italy,Poland,2,0,2024-08-23,0,0.8
Denmark,France,2,3,2024-08-23,0,0.8
Poland,Argentina,1,3,2024-08-23,0,0.8
Japan,Denmark,0,0,2024-08-24,0,0.8
Argentina,Senegal,0,0,2024-08-24,0,0.8
Senegal,USA,1,1,2024-08-24,0,0.8
Netherlands,Portugal,1,3,2024-08-24,1,1.0
Belgium,Australia,0,2,2024-08-24,0,0.8
Japan,Denmark,0,0,2024-08-24,1,1.0
Poland,Mexico,0,1,2024-08-24,1,1.0
England,USA,3,1,2024-08-25,0,0.8
Croatia,Portugal,1,0,2024-08-25,0,0.8
South Korea,Poland,2,1,2024-08-25,0,0.8
Germany,Poland,1,0,2024-08-25,0,0.8
Portugal,Japan,2,0,2024-08-25,0,0.8
Mexico,Spain,1,0,2024-08-25,1,1.0
Portugal,Denmark,4,1,2024-08-25,1,1.0
USA,Ghana,3,3,2024-08-25,0,0.8
Japan,USA,2,1,2024-08-26,1,1.0
Switzerland,Australia,1,0,2024-08-26,0,0.8
Spain,England,1,0,2024-08-26,1,1.0
Portugal,Italy,1,1,2024-08-26,1,1.0
Netherlands,Italy,1,2,2024-08-26,1,1.0
Netherlands,France,0,2,2024-08-26,0,0.8
Uruguay,France,1,2,2024-08-26,1,1.0
Netherlands,Brazil,2,2,2024-08-27,0,0.8
Mexico,Canada,4,1,2024-08-27,0,0.8
Australia,South Korea,1,4,2024-08-27,0,0.8
Brazil,Senegal,2,0,2024-08-27,1,1.0
England,USA,1,0,2024-08-27,0,0.8
Denmark,Mexico,2,0,2024-08-28,0,0.8
France,Morocco,2,1,2024-08-28,0,0.8
Portugal,Denmark,1,0,2024-08-28,0,0.8
Germany,Spain,4,2,2024-08-28,0,0.8
Netherlands,South Korea,3,2,2024-08-29,0,0.8
Poland,France,2,3,2024-08-29,0,0.8
Portugal,Ghana,0,2,2024-08-29,1,1.0
Belgium,Denmark,3,0,2024-08-29,1,1.0
Denmark,Portugal,2,0,2024-08-29,1,1.0
Brazil,Spain,4,2,2024-08-29,0,0.8
South Korea,Canada,1,1,2024-08-29,0,0.8
Belgium,Italy,2,0,2024-08-29,0,0.8
South Korea,Netherlands,0,3,2024-08-29,0,0.8
Croatia,Canada,0,0,2024-08-30,1,1.0
Netherlands,Spain,0,0,2024-08-30,0,0.8
Italy,Uruguay,1,0,2024-08-30,1,1.0
Japan,England,1,2,2024-08-30,0,0.8
Morocco,Mexico,1,0,2024-08-30,0,0.8
Ghana,Belgium,1,2,2024-08-31,1,1.0
South Korea,Ghana,2,1,2024-08-31,0,0.8
Argentina,Netherlands,1,0,2024-08-31,1,1.0
Japan,Netherlands,0,1,2024-08-31,0,0.8
Senegal,USA,1,1,2024-08-31,1,1.0
Portugal,South Korea,1,0,2024-08-31,0,0.8
Germany,Brazil,3,3,2024-09-01,0,0.8
Netherlands,South Korea,2,0,2024-09-01,1,1.0
Mexico,Canada,0,2,2024-09-01,0,0.8
Croatia,England,1,0,2024-09-01,1,1.0
Ghana,Belgium,0,4,2024-09-01,1,1.0
